,external_gene_name,count,ate,ate_mean,95_C.I._min,95_C.I._max
ENSG00000167083.5,GNGT2,180.0,0.5341210727036471,,,
ENSG00000183773.14,AIFM3,180.0,0.5210242442215247,,,
ENSG00000203446.2,SUGCT-AS1,180.0,0.48708988520191643,,,
ENSG00000259668.4,AC066613.1,180.0,0.45338288942753474,,,
ENSG00000172156.3,CCL11,180.0,0.448976453254153,,,
ENSG00000246740.2,PLA2G4E-AS1,180.0,0.4398133841305932,,,
ENSG00000248360.6,LINC00504,180.0,0.4350433641444764,,,
ENSG00000111344.10,RASAL1,180.0,0.42814275750303943,,,
ENSG00000237346.1,AL080313.2,180.0,0.41688602101163147,,,
ENSG00000185640.5,KRT79,180.0,0.3837364829301239,,,
ENSG00000197403.3,OR6N1,180.0,0.34880683625104225,,,
ENSG00000248803.1,AC092349.1,180.0,0.3475038510596728,,,
ENSG00000279141.2,LINC01451,180.0,0.28721835535348184,,,
ENSG00000263718.2,SEPTIN9-DT,180.0,0.2819056479811764,,,
ENSG00000203757.1,OR6K3,180.0,0.2776806124537309,,,
ENSG00000180433.4,OR6K6,180.0,0.276392391571846,,,
ENSG00000229160.1,AC009229.2,180.0,0.26519341457898743,,,
ENSG00000234540.1,AL080313.1,180.0,0.2554866910603809,,,
ENSG00000268849.4,SIGLEC22P,180.0,0.24115728659006466,,,
ENSG00000224034.1,LINC02561,180.0,0.23787402285252218,,,
ENSG00000186451.1,SPATA12,180.0,0.20830048500474949,,,
ENSG00000203724.9,C1orf53,180.0,0.18217262344035282,,,
ENSG00000180437.5,OR6K4P,180.0,0.18143548531535858,,,
ENSG00000259760.1,AC015660.2,180.0,0.17827689928851578,,,
ENSG00000232368.1,FTLP2,180.0,0.17220823401519433,,,
ENSG00000180409.3,OR10AA1P,180.0,0.1665408473522036,,,
ENSG00000226949.1,OR6K5P,180.0,0.15936289733952977,,,
ENSG00000272555.1,AC009974.1,180.0,0.1575907385115738,,,
ENSG00000219986.2,BTF3P7,180.0,0.14507484007459978,,,
ENSG00000229162.1,RUNX3-AS1,180.0,0.12464963407559813,,,
ENSG00000273789.1,,180.0,0.10951593845732147,,,
ENSG00000253230.5,MIR124-1HG,180.0,0.10931493083304138,,,
ENSG00000188340.1,OR6N2,180.0,0.10434146268791039,,,
ENSG00000233818.1,AP000695.2,180.0,0.09677073670152614,,,
ENSG00000225315.2,AL591178.1,180.0,0.09380388056731434,,,
ENSG00000270980.1,AC060764.1,180.0,0.08766248751126286,,,
ENSG00000281882.1,,180.0,0.08417560507193399,,,
ENSG00000233041.7,PHGR1,180.0,0.08382582175011373,,,
ENSG00000230479.1,AP000695.1,180.0,0.08054450379981207,,,
ENSG00000154975.12,CA10,180.0,0.07625577245362349,,,
ENSG00000237691.1,IFNWP2,180.0,0.07574544117283938,,,
ENSG00000257797.1,AC039056.1,180.0,0.07489840071777279,,,
ENSG00000243040.5,RBMY2FP,180.0,0.07391685502481557,,,
ENSG00000262358.1,AC116914.1,180.0,0.06885069526807583,,,
ENSG00000229724.1,OR2AQ1P,180.0,0.06524118702945517,,,
ENSG00000214278.4,AC010442.1,180.0,0.04294070624619883,,,
ENSG00000224995.1,LINC01526,180.0,0.041647973333353204,,,
ENSG00000250645.1,AC010442.2,180.0,0.034306845070362746,,,
ENSG00000237941.2,KCNQ1DN,180.0,-0.02492537759079884,,,
ENSG00000260364.1,AC009055.1,180.0,-0.045859447690707426,,,
ENSG00000271484.1,ABI1P1,180.0,-0.047512597284437755,,,
ENSG00000261706.1,LINC00165,180.0,-0.0478502340387965,,,
ENSG00000254089.1,AC016885.2,180.0,-0.07002230569601162,,,
ENSG00000151834.14,GABRA2,180.0,-0.07063484517539427,,,
ENSG00000239570.1,SETP11,180.0,-0.07236788603263347,,,
ENSG00000273762.1,VN1R76P,180.0,-0.07397261474708985,,,
ENSG00000221870.2,,180.0,-0.07929153064443324,,,
ENSG00000172399.5,MYOZ2,180.0,-0.08061874809042006,,,
ENSG00000227082.1,LINC02798,180.0,-0.09533210631803457,,,
ENSG00000126733.19,DACH2,180.0,-0.10303362554082565,,,
ENSG00000260331.1,AC079148.1,180.0,-0.11244016172110555,,,
ENSG00000280639.1,LINC02204,180.0,-0.11247482428470766,,,
ENSG00000183691.4,NOG,180.0,-0.13129547819340326,,,
ENSG00000271474.1,AC106881.1,180.0,-0.135256949917508,,,
ENSG00000249806.1,AC139720.1,180.0,-0.14340052460574818,,,
ENSG00000189423.10,USP32P3,180.0,-0.14911172905288042,,,
ENSG00000187398.10,LUZP2,180.0,-0.164800454061437,,,
ENSG00000102243.11,VGLL1,180.0,-0.1791409258576174,,,
ENSG00000279039.1,AC011447.6,180.0,-0.181050751892249,,,
ENSG00000260947.1,AL356489.2,180.0,-0.18378044407252167,,,
ENSG00000253407.1,AC087341.1,180.0,-0.1861467919572846,,,
ENSG00000267097.1,SLC14A2-AS1,180.0,-0.19693718040613675,,,
ENSG00000280515.1,SALRNA2,180.0,-0.2129651600423345,,,
ENSG00000196368.4,NUDT11,180.0,-0.23445287755271857,,,
ENSG00000229481.2,,180.0,-0.24168698928239354,,,
ENSG00000189398.5,OR7E12P,180.0,-0.24737833759245692,,,
ENSG00000164037.15,SLC9B1,180.0,-0.24847487214163277,,,
ENSG00000227110.5,LMCD1-AS1,180.0,-0.25047430334459736,,,
ENSG00000220563.1,PKMP3,180.0,-0.26298915696499225,,,
ENSG00000207770.1,,180.0,-0.2762222812321446,,,
ENSG00000274588.1,DGKK,180.0,-0.33850445097459025,,,
ENSG00000117154.10,IGSF21,180.0,-0.3569133717492846,,,
ENSG00000113205.4,PCDHB3,180.0,-0.36846786427038436,,,
ENSG00000232480.1,TGFB2-AS1,180.0,-0.3944374847154256,,,
ENSG00000120324.6,PCDHB10,180.0,-0.3963707109809771,,,
ENSG00000270223.1,,180.0,-0.4567087034461182,,,
ENSG00000272674.3,PCDHB16,180.0,-0.4583951606793458,,,
ENSG00000147606.7,SLC26A7,180.0,-0.47478509088868803,,,
ENSG00000147485.11,PXDNL,180.0,-0.4773859264813685,,,
ENSG00000164591.12,MYOZ3,180.0,-0.4870531404139765,,,
ENSG00000186310.9,NAP1L3,180.0,-0.5068204468499649,,,
ENSG00000237248.4,LINC00987,180.0,-0.5280884179916469,,,
ENSG00000081818.3,PCDHB4,180.0,-0.5295846875792379,,,
ENSG00000187151.6,ANGPTL5,180.0,-0.5525331594053671,,,
ENSG00000118276.10,B4GALT6,180.0,-0.5583855335391849,,,
ENSG00000185985.8,SLITRK2,180.0,-0.575589718739784,,,
ENSG00000150076.21,,180.0,-0.595593983732693,,,
ENSG00000152154.9,TMEM178A,180.0,-0.6099877481281901,,,
ENSG00000166770.9,ZNF667-AS1,180.0,-0.6332401729904712,,,
ENSG00000233098.7,CCDC144NL-AS1,180.0,-0.6351570179041097,,,
ENSG00000189430.11,NCR1,180.0,-0.6404869806969706,,,
ENSG00000196109.6,ZNF676,180.0,-0.6571097672319981,,,
ENSG00000007171.15,NOS2,180.0,-0.658797576041031,,,
ENSG00000134627.10,PIWIL4,180.0,-0.6935779408686713,,,
ENSG00000137338.5,PGBD1,180.0,-0.7041389324354421,,,
ENSG00000179256.2,SMCO3,180.0,-0.7072527871355058,,,
ENSG00000198155.5,ZNF876P,180.0,-0.7157067402085336,,,
ENSG00000173698.16,ADGRG2,180.0,-0.7228055775771866,,,
ENSG00000113248.5,PCDHB15,180.0,-0.7276421991121225,,,
ENSG00000146858.7,ZC3HAV1L,180.0,-0.7388374425615661,,,
ENSG00000223756.5,TSSC2,180.0,-0.745758408422541,,,
ENSG00000237036.4,ZEB1-AS1,180.0,-0.7654947110950076,,,
